-10,-11
-9.5,-10
-9,-9
-8.5,-8
-8,-7
-7.5,-6
-7,-5
-6.5,-4
-6,-3
-5.5,-2
-5,-1
-4.5,0
-4,1
-3.5,2
-3,3
-2.5,4
-2,5
-1.5,6
-1,7
-0.5,8
0,9
0.5,10
1,11
1.5,12
2,13
2.5,14
3,15
3.5,16
4,17
4.5,18
5,19
5.5,20
6,21
6.5,22
7,23
7.5,24
8,25
8.5,26
9,27
9.5,28
10,29
,
-10,-15.66696805
-9.5,-16.15644602
-9,-3.994923728
-8.5,-10.9573314
-8,-10.50570248
-7.5,-5.1714209
-7,-6.843252068
-6.5,-4.142215927
-6,-3.299592768
-5.5,-2.782342863
-5,-0.807499498
-4.5,0
-4,0.995868617
-3.5,3.801734229
-3,0.393172446
-2.5,1.033391529
-2,2.131838836
-1.5,6.036666793
-1,12.71622094
-0.5,14.19057976
0,15.58589621
0.5,18.1290993
1,20.89621472
1.5,14.0129614
2,11.35647147
2.5,7.990052309
3,13.81290703
3.5,19.15790228
4,4.282136272
4.5,16.44738343
5,22.78685434
5.5,23.31515949
6,29.56776841
6.5,34.46056078
7,28.13264916
7.5,37.05221489
8,9.396115745
8.5,25.30303615
9,20.90849673
9.5,40.34605426
10,34.34316021
,
-10,-6
-9.5,-5.083333333
-9,-4.237179487
-8.5,-3.451465201
-8,-2.718131868
-7.5,-2.030631868
-7,-1.383573045
-6.5,-0.772461933
-6,-0.193514565
-5.5,0.356485435
-5,0.880294959
-4.5,1.731737576
-4,2.580074286
-3.5,3.428514942
-3,4.279942567
-2.5,5.136993731
-2,6.00211876
-1.5,6.877627893
-1,7.765727409
-0.5,8.668548455
0,9.588170504
0.5,10.52664077
1,11.46925521
1.5,12.41635906
2,13.36816116
2.5,14.324743
3,15.28606439
3.5,16.25196656
4,17.22217317
4.5,18.19628963
5,19.17380112
5.5,19.6617727
6,20.12476768
6.5,20.55700547
7,20.95098499
7.5,21.29684804
8,21.58144492
8.5,21.78693245
9,21.88861694
9.5,21.85153866
10,21.624883
-10,-2.239410083
-9.5,-1.595098618
-9,-1.005605724
-8.5,-0.458056122
-8,0.057371063
-7.5,0.548316413
-7,1.020831155
-6.5,1.479786763
-6,1.929165149
-5.5,2.3722683
-5,2.811872351
-4.5,3.51175941
-4,4.218634442
-3.5,4.935802296
-3,5.665969183
-2.5,6.411369114
-2,7.173851179
-1.5,7.954940124
-1,8.755878154
-0.5,9.577653165
0,10.42101686
0.5,11.26305241
1,12.08921527
1.5,12.89675484
2,13.68225858
2.5,14.44154316
3,15.16948964
3.5,15.85979947
4,16.50463327
4.5,17.09406758
5,17.61525843
5.5,17.89704338
6,18.1533203
6.5,18.38069017
7,18.57525606
7.5,18.73258534
8,18.84770397
8.5,18.91516636
9,18.9292895
9.5,18.88473356
10,18.77781183
,
-10,-11
-9.5,-10
-9,-9
-8.5,-8
-8,-7
-7.5,-6
-7,-5
-6.5,-4
-6,-3
-5.5,-2
-5,-1
-4.5,0
-4,1
-3.5,2
-3,3
-2.5,4
